DYE MACHINE	Actual St/ Code	Extended status	Shift date	Row name
STOP LR 08			2015-07-16	LR 06
M/C Cleaning1			2015-07-16	LR 06
1601332	A13170A-NI		2015-07-10	LR 07
1601795	A13170A-NI		2015-07-10	LR 07
1601796	A13170A-NI		2015-07-10	LR 07
1601942	A13169A-NI		2015-07-11	LR 07
1602093	A13266A-NI		2015-07-12	LR 07
1602095	A13266A-NI		2015-07-12	LR 07
M1022380	A13219A-NI		2015-07-13	LR 07
1601567	A13219A-NI		2015-07-13	LR 07
1601568			2015-07-13	LR 07
STOP LR 09			2015-07-16	LR 07
1601424DD	?		2015-07-10	LR 08
1601280DD	?		2015-07-10	LR 08
1602230	A13096A-SU		2015-07-13	LR 08
1602231			2015-07-14	LR 08
1602232			2015-07-14	LR 08
1602233			2015-07-15	LR 08
STOP LR 07			2015-07-16	LR 08
1602121			2015-07-16	LR 08
1602122			2015-07-17	LR 08
1602123			2015-07-17	LR 08
1602124			2015-07-17	LR 08
1602125			2015-07-18	LR 08
1602126			2015-07-18	LR 08
1602127			2015-07-19	LR 08
1555890QDM	?		2015-07-10	LR 09
1582387QODZ5	?		2015-07-10	LR 09
1592666QODF			2015-07-11	LR 09
1601149	A12646A-PA		2015-07-12	LR 09
1601800	A12646A-PA		2015-07-12	LR 09
1601801	A12646A-PA		2015-07-12	LR 09
1598523	A12580A-PA		2015-07-12	LR 09
1601522	A12985B-AM		2015-07-13	LR 09
1601684	A13108A-DA		2015-07-14	LR 09
1602300			2015-07-14	LR 09
1602302			2015-07-15	LR 09
STOP TH 40			2015-07-16	LR 09
M1022395	A12623A-PA		2015-07-10	TN40
1601161	A12623A-PA		2015-07-10	TN40
1602046	A12623A-PA		2015-07-10	TN40
1601660	A12667A-AM		2015-07-10	TN40
1601921	A13172A-JI		2015-07-12	TN40
1601922	A13172B-JI		2015-07-12	TN40
1602154	A13172B-JI		2015-07-12	TN40
M1022407	A13188A-TH		2015-07-13	TN40
1601784			2015-07-13	TN40
1601785	A13188A-TH		2015-07-13	TN40
STOP TH 45			2015-07-16	TN40
M1022446	A13172B-JI		2015-07-10	TN41
1602128	A13172B-JI		2015-07-10	TN41
1602129	A13172A-JI		2015-07-10	TN41
M1022409			2015-07-11	TN41
1601790			2015-07-11	TN41
1601791	A13172A-JI		2015-07-11	TN41
M1022406			2015-07-11	TN41
1601778			2015-07-11	TN41
1601779			2015-07-11	TN41
1601780			2015-07-11	TN41
M1022463	A13172B-JI		2015-07-11	TN41
1602278	A13172B-JI		2015-07-11	TN41
1602279	A13172B-JI		2015-07-11	TN41
1602281			2015-07-11	TN41
STOP TH 42.			2015-07-16	TN41
NYLON-9			2015-07-16	TN41
NYLON-7			2015-07-17	TN41
STOP TH 41			2015-07-16	TN42
INSTANT SPEED ORDER 2013			2015-07-16	TN42
1601549	A12742A-PA		2015-07-10	TN43
1601550	A12742A-PA		2015-07-10	TN43
1601547	A12742A-PA		2015-07-11	TN43
1601548	A12742A-PA		2015-07-11	TN43
1602312			2015-07-11	TN43
1602313			2015-07-12	TN43
M1022467			2015-07-12	TN43
1602314			2015-07-12	TN43
1602315			2015-07-12	TN43
M1022468			2015-07-13	TN43
1602316			2015-07-13	TN43
1602317			2015-07-13	TN43
STOP TH 44			2015-07-19	TN43
Preventive Maintenance2			2015-07-19	TN43
M1022397	A13200A-HU		2015-07-10	TN44
1600569	A13200A-HU		2015-07-10	TN44
1601673	A12811A-HU		2015-07-10	TN44
1601674	A13201A-HU		2015-07-10	TN44
1601174	A12889A-HU		2015-07-10	TN44
1602324	A12984A-AM		2015-07-10	TN44
1602325	A12984A-AM		2015-07-10	TN44
1602326	A12984A-AM		2015-07-11	TN44
1602327	A12984A-AM		2015-07-11	TN44
1602014	A13228A-HU		2015-07-11	TN44
1601617			2015-07-11	TN44
1602041			2015-07-12	TN44
1602264			2015-07-13	TN44
STOP TH 45			2015-07-16	TN44
1601562	A12742A-PA		2015-07-10	TN45
1601559	A12742A-PA		2015-07-11	TN45
1601560	A12742A-PA		2015-07-11	TN45
1601561	A12742A-PA		2015-07-12	TN45
M1022444	A12742A-PA		2015-07-12	TN45
1601563	A12742A-PA		2015-07-12	TN45
1602116	A12742A-PA		2015-07-12	TN45
1601553	A12739A-PA		2015-07-14	TN45
1602099	A12739A-PA		2015-07-14	TN45
1602100	A12739A-PA		2015-07-14	TN45
1601554	A12742A-PA		2015-07-14	TN45
1602112	A12742A-PA		2015-07-14	TN45
1602113	A12742A-PA		2015-07-14	TN45
1601555	A12597A-PA		2015-07-15	TN45
1602187	A12597A-PA		2015-07-15	TN45
